"","study_name","id","child_sex","child_religion","child_age","child_age_centered","school","standard","standard_num","sequence","question_type","language","speaker_gender","origin","religion","wealth","army_navy_language","coded_wealth","no_opinion_geo","no_opinion_religion","no_opinion_wealth","gujarat","india","foreign","richer","poorer","same","hindu","buddhist","muslim","jain","christian","geographic_origin"
"11","india-socioling","Z07A13","male",NA,12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","poorer","english",-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"Foreign (Outside India)"
"12","india-socioling","Z07A14","male","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","buddhist","idk","english",NA,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"India (Different State)"
"13","india-socioling","Z07A40","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","hindu","richer","english",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"Foreign (Outside India)"
"14","india-socioling","Z07A40","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","hindu","idk","english",NA,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Foreign (Outside India)"
"15","india-socioling","Z07A45","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","idk","christian","same","english",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"No Opinion"
"16","india-socioling","Z07A55","female","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"17","india-socioling","Z07A59","female","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","christian","same","english",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"India (Different State)"
"18","india-socioling","Z07B03","male","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","buddhist","same","english",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"Foreign (Outside India)"
"19","india-socioling","Z07B11","male","other",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"20","india-socioling","Z07B21","male","muslim",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","Gujarat","muslim","poorer","english",-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"Gujarat (Same State)"
"21","india-socioling","Z07B38","female","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","richer","english",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"Foreign (Outside India)"
"22","india-socioling","Z07B48","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"23","india-socioling","Z05B11","male","hindu",11,0.397915127636871,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"24","india-socioling","Z05B55","female","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","jain","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"Foreign (Outside India)"
"25","india-socioling","Z05B12","male","muslim",11,0.397915127636871,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","idk","idk","english",NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Foreign (Outside India)"
"26","india-socioling","Z05B19","male","hindu",11,0.397915127636871,"zenith",5,5,1,"associations","English (U.S.)","male","India","muslim","same","english",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"India (Different State)"
"27","india-socioling","Z07A05","male","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","hindu","idk","english",NA,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"India (Different State)"
"28","india-socioling","Z05B17","male","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","India","christian","same","english",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"India (Different State)"
"29","india-socioling","Z07A42","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","Gujarat","idk","same","english",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,"Gujarat (Same State)"
"30","india-socioling","Z07B39","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"31","india-socioling","Z03C01","male","muslim",8.36827956989247,-2.23380530247066,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"32","india-socioling","Z03C02","male","muslim",7.75806451612903,-2.8440203562341,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","hindu","richer","english",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"Foreign (Outside India)"
"33","india-socioling","Z03C43","female","muslim",8,-2.60208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","India","christian","same","english",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"India (Different State)"
"34","india-socioling","Z03C44","female","hindu",8.7,-1.90208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","buddhist","richer","english",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"Foreign (Outside India)"
"35","india-socioling","Z03C46","female","muslim",7.8,-2.80208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","","","english",NA,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Foreign (Outside India)"
"36","india-socioling","Z05B05","male","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","muslim","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"Foreign (Outside India)"
"37","india-socioling","Z05B20","male","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","India","idk","same","english",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,"India (Different State)"
"38","india-socioling","Z05C48","female","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","jain","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"Foreign (Outside India)"
"39","india-socioling","Z05C56","female","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"40","india-socioling","Z07A11","male","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","Gujarat","christian","same","english",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"Gujarat (Same State)"
"41","india-socioling","Z07A16","male","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","idk","english",NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Foreign (Outside India)"
"42","india-socioling","Z07A18","male","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"43","india-socioling","Z07A19","male","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","buddhist","richer","english",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"Foreign (Outside India)"
"44","india-socioling","Z07A20","male","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","muslim","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"Foreign (Outside India)"
"45","india-socioling","Z07A21","male","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","poorer","english",-1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"Foreign (Outside India)"
"46","india-socioling","Z07A41","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","idk","english",NA,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"Foreign (Outside India)"
"47","india-socioling","Z07A43","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","Gujarat","hindu","same","english",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"48","india-socioling","Z07A46","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"49","india-socioling","Z07A48","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","buddhist","same","english",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"India (Different State)"
"50","india-socioling","Z07A51","female","muslim",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"51","india-socioling","Z07A56","female","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"52","india-socioling","Z07A58","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","hindu","same","english",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"India (Different State)"
"53","india-socioling","Z07B05","male","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","buddhist","same","english",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"India (Different State)"
"54","india-socioling","Z07B12","male","muslim",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"55","india-socioling","Z07B41","female","muslim",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"56","india-socioling","Z07B55","female","muslim",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","richer","english",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"Foreign (Outside India)"
"57","india-socioling","Z07A02","male","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","India","christian","same","english",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"India (Different State)"
"58","india-socioling","Z05C46","female","muslim",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","Gujarat","muslim","poorer","english",-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"Gujarat (Same State)"
"59","india-socioling","Z07A39","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","idk","english",NA,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"Foreign (Outside India)"
"60","india-socioling","Z05C44","female","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"61","india-socioling","Z07A50","female","muslim",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"62","india-socioling","Z03C47","female","hindu",8.3,-2.30208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"63","india-socioling","Z07B06","male","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","buddhist","idk","english",NA,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"Foreign (Outside India)"
"64","india-socioling","Z05B56","female","muslim",11,0.397915127636871,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","buddhist","same","english",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"Foreign (Outside India)"
"65","india-socioling","Z03C48","female","hindu",7.9,-2.70208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","Gujarat","jain","poorer","english",-1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"Gujarat (Same State)"
"66","india-socioling","Z03C10","male","hindu",8.4,-2.20208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","foreign","buddhist","richer","english",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"Foreign (Outside India)"
"67","india-socioling","Z03C14","male","hindu",8.1,-2.50208487236313,"zenith",3,3,1,"associations","English (U.S.)","male","Gujarat","hindu","richer","english",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,"Gujarat (Same State)"
"68","india-socioling","Z05B62","female","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"69","india-socioling","Z05C04","male","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","Gujarat","muslim","poorer","english",-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"Gujarat (Same State)"
"70","india-socioling","Z05C09","male","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"71","india-socioling","Z05C49","female","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"72","india-socioling","Z07A01","male","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"73","india-socioling","Z07A06","male","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","same","english",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"74","india-socioling","Z07A47","female","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"75","india-socioling","Z07B08","male","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","idk","english",NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Foreign (Outside India)"
"76","india-socioling","Z07B40","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","richer","english",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"Foreign (Outside India)"
"77","india-socioling","Z07B43","female","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","idk","english",NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Foreign (Outside India)"
"78","india-socioling","Z07B07","male","hindu",13,2.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","christian","richer","english",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"79","india-socioling","Z05B49","female","hindu",10,-0.602084872363129,"zenith",5,5,1,"associations","English (U.S.)","male","","jain","same","english",0,NA,0,0,NA,NA,NA,0,0,1,0,0,0,1,0,NA
"80","india-socioling","Z05B32","male","muslim",11,0.397915127636871,"zenith",5,5,1,"associations","English (U.S.)","male","","christian","same","english",0,NA,0,0,NA,NA,NA,0,0,1,0,0,0,0,1,NA
"81","india-socioling","Z07A04","male","hindu",12,1.39791512763687,"zenith",7,7,1,"associations","English (U.S.)","male","foreign","idk","same","english",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"Foreign (Outside India)"
"82","india-socioling","Z03C07","male","hindu",8.6,-2.00208487236313,"zenith",3,3,2,"associations","Gujarati","male","India","","poorer","gujarati",-1,0,NA,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,"India (Different State)"
"83","india-socioling","Z05C10","male","muslim",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","muslim","same","gujarati",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"Gujarat (Same State)"
"84","india-socioling","Z03C04","male","muslim",9,-1.60208487236313,"zenith",3,3,2,"associations","Gujarati","male","Gujarat","buddhist","same","gujarati",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,"Gujarat (Same State)"
"85","india-socioling","Z03C49","female","muslim",8,-2.60208487236313,"zenith",3,3,2,"associations","Gujarati","male","Gujarat","christian","same","gujarati",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"Gujarat (Same State)"
"86","india-socioling","Z05C06","male","other",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","foreign","christian","same","gujarati",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Foreign (Outside India)"
"87","india-socioling","Z05C45","female","hindu",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","India","hindu","richer","gujarati",1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"India (Different State)"
"88","india-socioling","Z05C50","female","hindu",9.7,-0.90208487236313,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","muslim","same","gujarati",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"Gujarat (Same State)"
"89","india-socioling","Z07A09","male",NA,12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","idk","gujarati",NA,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"Gujarat (Same State)"
"90","india-socioling","Z07A10","male","muslim",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"91","india-socioling","Z07A12","male","hindu",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","muslim","richer","gujarati",1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"Gujarat (Same State)"
"92","india-socioling","Z07A13","male",NA,12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"93","india-socioling","Z07A14","male","hindu",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"94","india-socioling","Z07A40","female","muslim",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","India","hindu","poorer","gujarati",-1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"India (Different State)"
"95","india-socioling","Z07A45","female","muslim",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","poorer","gujarati",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"96","india-socioling","Z07A55","female","hindu",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","foreign","christian","richer","gujarati",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Foreign (Outside India)"
"97","india-socioling","Z07A59","female","hindu",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","poorer","gujarati",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"98","india-socioling","Z07B03","male","hindu",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","foreign","buddhist","same","gujarati",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"Foreign (Outside India)"
"99","india-socioling","Z07B11","male","other",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","India","idk","idk","gujarati",NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"India (Different State)"
"100","india-socioling","Z07B21","male","muslim",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","foreign","muslim","poorer","gujarati",-1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"Foreign (Outside India)"
"101","india-socioling","Z07B38","female","hindu",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","India","hindu","same","gujarati",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"India (Different State)"
"102","india-socioling","Z07B48","female","muslim",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","India","muslim","idk","gujarati",NA,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"India (Different State)"
"103","india-socioling","Z05B11","male","hindu",11,0.397915127636871,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"104","india-socioling","Z05B55","female","muslim",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","India","hindu","same","gujarati",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"India (Different State)"
"105","india-socioling","Z05B12","male","muslim",11,0.397915127636871,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","muslim","same","gujarati",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"Gujarat (Same State)"
"106","india-socioling","Z05B19","male","hindu",11,0.397915127636871,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"107","india-socioling","Z07A05","male","muslim",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","muslim","same","gujarati",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"Gujarat (Same State)"
"108","india-socioling","Z05B17","male","hindu",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","poorer","gujarati",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"109","india-socioling","Z07A42","female","hindu",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"110","india-socioling","Z07B39","female","hindu",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"111","india-socioling","Z05C44","female","hindu",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"112","india-socioling","Z03C01","male","muslim",8.36827956989247,-2.23380530247066,"zenith",3,3,2,"associations","Gujarati","male","India","muslim","richer","gujarati",1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"India (Different State)"
"113","india-socioling","Z03C02","male","muslim",7.75806451612903,-2.8440203562341,"zenith",3,3,2,"associations","Gujarati","male","foreign","hindu","richer","gujarati",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"Foreign (Outside India)"
"114","india-socioling","Z03C43","female","muslim",8,-2.60208487236313,"zenith",3,3,2,"associations","Gujarati","male","foreign","hindu","poorer","gujarati",-1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"Foreign (Outside India)"
"115","india-socioling","Z03C44","female","hindu",8.7,-1.90208487236313,"zenith",3,3,2,"associations","Gujarati","male","foreign","buddhist","richer","gujarati",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"Foreign (Outside India)"
"116","india-socioling","Z03C46","female","muslim",7.8,-2.80208487236313,"zenith",3,3,2,"associations","Gujarati","male","foreign","","","gujarati",NA,0,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Foreign (Outside India)"
"117","india-socioling","Z05B05","male","muslim",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"118","india-socioling","Z05B20","male","muslim",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","poorer","gujarati",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"119","india-socioling","Z05C48","female","muslim",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","Gujarat","hindu","same","gujarati",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"Gujarat (Same State)"
"120","india-socioling","Z05C56","female","muslim",10,-0.602084872363129,"zenith",5,5,2,"associations","Gujarati","male","India","jain","same","gujarati",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"India (Different State)"
"121","india-socioling","Z07A11","male","hindu",13,2.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","hindu","poorer","gujarati",-1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"Gujarat (Same State)"
"122","india-socioling","Z07A16","male","muslim",12,1.39791512763687,"zenith",7,7,2,"associations","Gujarati","male","Gujarat","idk","idk","gujarati",NA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Gujarat (Same State)"
